,_id,date,ppl
144,146,2020-02-08T10:08:00.000-0300,59.33996556342069
145,147,2020-02-24T12:21:00.000-0300,59.33642497462333
146,148,2020-02-29T09:16:00.000-0300,59.34
147,149,2020-03-13T19:27:00.000-0300,59.490063539272676
148,150,2020-05-26T15:59:00.000-0300,59.48989847195159
149,151,2020-06-18T12:21:00.000-0300,59.489924901479654
150,152,2020-08-01T12:23:00.000-0300,59.49011837881219
151,153,2020-08-08T17:35:00.000-0300,59.49005761010964
152,154,2020-09-16T21:09:00.000-0300,62.17101172959755
153,155,2020-09-09T23:10:00.000-0300,62.16995447647951
154,157,2020-10-17T19:58:00.000-0300,67.33993464699475
155,158,2020-10-18T17:55:00.000-0300,67.34
156,159,2020-11-18T19:57:00.000-0300,67.34
157,160,2020-11-29T19:11:00.000-0300,69.7
158,161,2020-12-16T18:26:00.000-0300,83.0
159,162,2021-01-04T14:55:00.000-0300,83.80010840108402
160,163,2021-01-10T12:41:00.000-0300,87.20004055561189
161,164,2021-01-14T13:17:00.000-0300,76.70012108166286
162,165,2021-02-12T17:25:00.000-0300,81.799988319349
163,166,2021-03-14T13:03:00.000-0300,82.80004846820285
164,167,2021-04-05T18:48:00.000-0300,88.6
165,168,2021-04-10T11:19:00.000-0300,88.59996375571352
166,169,2021-04-23T10:11:00.000-0300,94.0
167,170,2021-04-25T22:00:00.000-0300,94.0
168,171,2021-05-02T21:06:00.000-0300,94.00022504782265
169,172,2021-05-15T20:30:00.000-0300,94.0
170,173,2021-06-16T16:05:00.000-0300,99.0
171,174,2021-07-11T14:32:00.000-0300,99.0
172,175,2021-07-24T19:29:00.000-0300,99.19650828290844
173,176,2021-07-25T10:37:00.000-0300,99.00011511453896
174,177,2021-08-21T17:49:00.000-0300,99.2
175,178,2021-08-26T20:26:00.000-0300,99.0
176,179,2021-09-08T20:15:00.000-0300,99.0
177,180,2021-09-26T19:04:00.000-0300,99.00000000000001
178,181,2021-11-03T08:21:00.000-0300,98.99957428693062
179,182,2021-10-19T09:30:00.000-0300,98.99989897969492
180,183,2021-12-12T18:30:00.000-0300,99.00004122691291
181,184,2021-11-24T08:22:00.000-0300,98.99995959432705
182,185,2022-01-02T13:54:00.000-0300,115.09991328644377
183,186,2022-02-06T21:00:00.000-0300,128.3
184,188,2022-02-18T17:15:00.000-0300,108.4000617736767
185,189,2022-02-25T15:55:00.000-0300,108.39976351184905
186,190,2022-03-08T23:36:00.000-0300,108.39994379428708
187,191,2022-03-22T15:53:00.000-0300,118.70301129739074
188,192,2022-04-18T13:25:00.000-0300,118.69991670137442
189,193,2022-05-06T20:45:00.000-0300,118.70003792188092
190,194,2022-05-24T13:10:00.000-0300,131.8
191,195,2022-06-04T14:55:00.000-0300,161.9000303551553
192,196,2022-06-18T13:08:00.000-0300,131.7999121458379
193,197,2022-06-16T18:30:00.000-0300,131.80057226761042
194,198,2022-06-27T22:26:00.000-0300,131.55355968431437
195,199,2022-07-18T15:30:00.000-0300,131.79916219523676
196,200,2022-08-04T13:33:00.000-0300,131.799939497832
197,201,2022-08-21T21:26:00.000-0300,145.49994804115138
198,202,2022-09-29T19:36:00.000-0300,145.49992511286558
199,203,2022-09-12T20:43:00.000-0300,145.5
200,204,2022-10-06T15:03:00.000-0300,154.2001083468767
201,205,2022-10-07T07:55:00.000-0300,188.50121893757807
202,206,2022-10-07T15:31:00.000-0300,202.50000000000003
203,207,2022-10-08T23:03:00.000-0300,186.89993972272453
204,208,2022-10-09T11:34:00.000-0300,188.4999326961906
205,209,2022-10-14T16:29:00.000-0300,154.20003953350462
206,210,2022-11-03T18:17:00.000-0300,165.0
207,211,2022-11-25T21:00:00.000-0300,164.99927812725585
208,212,2022-12-17T14:22:00.000-0300,172.40103433052326
209,213,2022-12-31T15:34:00.000-0300,172.40004925703968
210,214,2023-01-15T13:20:00.000-0300,215.39992422278502
211,215,2023-02-04T10:34:00.000-0300,229.4000641642605
212,216,2023-02-03T11:00:00.000-0300,229.4
213,217,2023-02-15T10:29:00.000-0300,180.2007841273613
214,218,2023-03-11T10:17:00.000-0300,188.60111988179028
215,219,2023-03-26T19:49:00.000-0300,199.19909641646987
216,220,2023-04-13T17:42:00.000-0300,199.19997835263555
217,221,2023-05-10T19:29:00.000-0300,211.19944211994422
218,222,2023-06-03T16:13:00.000-0300,227.49999999999997
219,223,2023-06-14T14:34:00.000-0300,221.49993708317604
220,224,2023-06-29T18:31:00.000-0300,234.7999165231909
221,225,2023-08-05T20:50:00.000-0300,256.399915939897
222,226,2023-08-15T17:50:00.000-0300,256.3999790696458
223,227,2023-08-15T14:15:00.000-0300,256.3999051233397
224,228,2023-09-16T17:26:00.000-0300,368.00007746383403
225,229,2023-10-11T14:25:00.000-0300,368.00007747133566
226,230,2023-10-14T16:09:00.000-0300,358.3999785407725
227,231,2023-10-16T09:23:00.000-0300,359.2998955067921
228,232,2023-10-20T13:18:00.000-0300,288.50012531086736
229,233,2023-11-10T13:14:00.000-0300,326.002032219141
230,234,2023-12-07T23:09:00.000-0300,372.99998036906163
